codice_region,codice_provincia,codice_comune,regione,provincia,comune,addetti_un,popolazion
9,45,1,Toscana,Massa-Carrara,Aulla,3765,10178
9,45,2,Toscana,Massa-Carrara,Bagnone,392,2022
9,45,3,Toscana,Massa-Carrara,Carrara,21556,65034
9,45,4,Toscana,Massa-Carrara,Casola in Lunigiana,157,1231
9,45,5,Toscana,Massa-Carrara,Comano,158,799
9,45,6,Toscana,Massa-Carrara,Filattiera,279,2474
9,45,7,Toscana,Massa-Carrara,Fivizzano,1987,9174
9,45,8,Toscana,Massa-Carrara,Fosdinovo,640,4379
9,45,9,Toscana,Massa-Carrara,Licciana Nardi,1169,4887
9,45,10,Toscana,Massa-Carrara,Massa,24893,66769
9,45,11,Toscana,Massa-Carrara,Montignoso,1841,10023
9,45,12,Toscana,Massa-Carrara,Mulazzo,543,2565
9,45,13,Toscana,Massa-Carrara,Podenzana,310,1819
9,45,14,Toscana,Massa-Carrara,Pontremoli,2169,8252
9,45,15,Toscana,Massa-Carrara,Tresana,271,2055
9,45,16,Toscana,Massa-Carrara,Villafranca in Lunigiana,1168,4609
9,45,17,Toscana,Massa-Carrara,Zeri,184,1382
9,46,1,Toscana,Lucca,Altopascio,5525,11152
9,46,2,Toscana,Lucca,Bagni di Lucca,1919,6550
9,46,3,Toscana,Lucca,Barga,4874,10018
9,46,4,Toscana,Lucca,Borgo a Mozzano,3211,7358
9,46,5,Toscana,Lucca,Camaiore,9030,30206
9,46,6,Toscana,Lucca,Camporgiano,326,2394
9,46,7,Toscana,Lucca,Capannori,17652,42454
9,46,8,Toscana,Lucca,Careggine,91,642
9,46,9,Toscana,Lucca,Castelnuovo di Garfagnana,3132,6073
9,46,10,Toscana,Lucca,Castiglione di Garfagnana,330,1890
9,46,11,Toscana,Lucca,Coreglia Antelminelli,1515,4813
9,46,12,Toscana,Lucca,Fabbriche di Vallico,84,526
9,46,13,Toscana,Lucca,Forte dei Marmi,3850,8444
9,46,14,Toscana,Lucca,Fosciandora,60,670
9,46,15,Toscana,Lucca,Gallicano,1197,3795
9,46,16,Toscana,Lucca,Giuncugnano,69,538
9,46,17,Toscana,Lucca,Lucca,34057,81862
9,46,18,Toscana,Lucca,Massarosa,4912,20548
9,46,19,Toscana,Lucca,Minucciano,398,2521
9,46,20,Toscana,Lucca,Molazzana,96,1188
9,46,21,Toscana,Lucca,Montecarlo,1022,4345
9,46,22,Toscana,Lucca,Pescaglia,1021,3718
9,46,23,Toscana,Lucca,Piazza al Serchio,560,2556
9,46,24,Toscana,Lucca,Pietrasanta,8604,24409
9,46,25,Toscana,Lucca,Pieve Fosciana,578,2367
9,46,26,Toscana,Lucca,Porcari,5709,7109
9,46,27,Toscana,Lucca,San Romano in Garfagnana,174,1432
9,46,28,Toscana,Lucca,Seravezza,3611,12706
9,46,29,Toscana,Lucca,Sillano,112,784
9,46,30,Toscana,Lucca,Stazzema,640,3367
9,46,31,Toscana,Lucca,Vagli Sotto,173,1123
